sales_person,country,product,date,amount,boxes_shipped,festival
Beverie Moffet,UK,50% Dark Bites,2022-02-09,2499.0,271,None Festival
Van Tuxwell,UK,Almond Choco,2022-06-06,10689.0,204,None Festival
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,5768.0,235,None Festival
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,2226.0,46,None Festival
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,10262.0,15,Easter
Barr Faughny,UK,Milk Bars,2022-03-02,3864.0,430,None Festival
Van Tuxwell,Canada,Drinking Coco,2022-06-15,4900.0,709,None Festival
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250.0,47,Valentine's Day
Husein Augar,UK,After Nines,2022-07-05,3507.0,380,None Festival
Barr Faughny,India,Mint Chip Choco,2022-01-12,7413.0,465,None Festival
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.0,96,None Festival
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,2478.0,188,None Festival
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471.0,202,None Festival
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,1666.0,106,None Festival
Andria Kimpton,India,Orange Choco,2022-05-30,301.0,421,None Festival
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,8400.0,27,Easter
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139.0,45,Valentine's Day
Kelci Walkden,Australia,Drinking Coco,2022-05-04,1288.0,60,None Festival
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,7077.0,77,None Festival
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,2317.0,464,None Festival
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,63.0,60,None Festival
Jan Morforth,UK,Almond Choco,2022-07-06,9744.0,157,None Festival
Husein Augar,India,Raspberry Choco,2022-06-15,9954.0,154,None Festival
Dotty Strutley,India,Mint Chip Choco,2022-04-14,1260.0,239,Easter
Camilla Castle,India,Drinking Coco,2022-08-08,469.0,163,None Festival
Marney O'Breen,UK,Drinking Coco,2022-03-29,973.0,28,None Festival
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,3647.0,76,None Festival
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455.0,96,Valentine's Day
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,2520.0,156,None Festival
Van Tuxwell,India,Eclairs,2022-07-21,10500.0,106,None Festival
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952.0,235,None Festival
Kaine Padly,USA,85% Dark Bars,2022-06-22,483.0,259,None Festival
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,4872.0,126,None Festival
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,7756.0,85,None Festival
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,5446.0,132,None Festival
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,6594.0,91,None Festival
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,1470.0,167,Easter
Curtice Advani,Canada,Eclairs,2022-05-06,721.0,203,None Festival
Roddy Speechley,India,Drinking Coco,2022-05-31,4494.0,11,None Festival
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674.0,295,None Festival
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658.0,77,White Day
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127.0,319,Valentine's Day
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364.0,196,None Festival
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818.0,102,None Festival
Roddy Speechley,Canada,Drinking Coco,2022-05-17,6776.0,312,None Festival
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.0,55,None Festival
Madelene Upcott,Canada,Milk Bars,2022-04-26,3612.0,82,Easter
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710.0,260,Easter
Oby Sorrel,Canada,Eclairs,2022-05-19,6111.0,591,None Festival
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,2702.0,24,None Festival
Mallorie Waber,New Zealand,After Nines,2022-05-04,483.0,228,None Festival
Roddy Speechley,Canada,White Choc,2022-04-05,5887.0,268,Easter
Andria Kimpton,India,After Nines,2022-01-17,952.0,68,None Festival
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647.0,173,None Festival
Dotty Strutley,Australia,White Choc,2022-07-05,6055.0,93,None Festival
Oby Sorrel,Canada,Orange Choco,2022-04-27,8757.0,338,Easter
Kaine Padly,Canada,Almond Choco,2022-08-12,6055.0,73,None Festival
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721.0,251,White Day
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,8589.0,229,Mother's Day
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,11781.0,91,Mother's Day
Brien Boise,USA,Raspberry Choco,2022-01-12,672.0,194,None Festival
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,12558.0,403,None Festival
Roddy Speechley,India,50% Dark Bites,2022-03-14,8337.0,12,White Day
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,8134.0,195,None Festival
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,8491.0,75,None Festival
Beverie Moffet,India,Almond Choco,2022-05-24,3066.0,96,None Festival
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,301.0,205,None Festival
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,4410.0,323,None Festival
Jehu Rudeforth,USA,White Choc,2022-06-07,6559.0,119,None Festival
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,574.0,217,None Festival
Dotty Strutley,India,Eclairs,2022-07-28,2086.0,384,None Festival
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,5075.0,344,None Festival
